DATE,TICKER,PRICE,INVEST_SCORE
05/14/2025,HIMS,64.00,204.36
05/14/2025,MVST,3.11,154.94
05/14/2025,NRG,156.71,142.36
05/14/2025,RUN,11.90,134.26
05/14/2025,GRAL,42.89,116.42
05/14/2025,ARRY,8.25,107.54
05/14/2025,ACHR,11.16,101.16
05/18/2025,HIMS,64.00,204.36
05/18/2025,MVST,3.11,154.94
05/18/2025,NRG,156.71,142.36
05/18/2025,RUN,11.90,134.26
05/18/2025,GRAL,42.89,116.42
05/18/2025,ARRY,8.25,107.54
05/18/2025,ACHR,11.16,101.16
05/19/2025,ACHR,13.30,100.00
05/19/2025,NBIS,37.32,100.00
05/19/2025,GAP,27.39,100.00
05/19/2025,FL,23.85,100.00
05/19/2025,AEVA,18.44,100.00
05/19/2025,OKLO,37.72,100.00
05/19/2025,COIN,266.46,100.00
05/19/2025,COMM,5.88,100.00
05/19/2025,BOOT,156.71,100.00
05/19/2025,GRAL,39.91,100.00
05/19/2025,QUBT,12.87,100.00
05/19/2025,FIVE,106.52,100.00
05/19/2025,SOC,28.86,100.00
05/19/2025,FSLR,178.46,100.00
05/19/2025,SMR,24.17,100.00
05/19/2025,LQDA,18.88,100.00
05/19/2025,ONON,59.90,100.00
05/19/2025,ARRY,7.68,100.00
05/19/2025,ALAB,90.56,100.00
05/19/2025,CLS,113.25,100.00
05/19/2025,NXT,59.31,100.00
05/19/2025,DK,18.85,100.00
05/22/2025,ACHR,13.30,100.00
05/22/2025,NBIS,37.32,100.00
05/22/2025,GAP,27.39,100.00
05/22/2025,FL,23.85,100.00
05/22/2025,AEVA,18.44,100.00
05/22/2025,OKLO,37.72,100.00
05/22/2025,COIN,266.46,100.00
05/22/2025,COMM,5.88,100.00
05/22/2025,BOOT,156.71,100.00
05/22/2025,GRAL,39.91,100.00
05/22/2025,QUBT,12.87,100.00
05/22/2025,FIVE,106.52,100.00
05/22/2025,SOC,28.86,100.00
05/22/2025,FSLR,178.46,100.00
05/22/2025,SMR,24.17,100.00
05/22/2025,LQDA,18.88,100.00
05/22/2025,ONON,59.90,100.00
05/22/2025,ARRY,7.68,100.00
05/22/2025,ALAB,90.56,100.00
05/22/2025,CLS,113.25,100.00
05/22/2025,NXT,59.31,100.00
05/22/2025,DK,18.85,100.00
05/27/2025,MTPLF,8.19,372.59
05/27/2025,QBTS,17.55,307.86
05/27/2025,NVTS,6.50,271.49
05/27/2025,TMC,4.69,236.52
05/27/2025,PONY,21.35,210.76
05/27/2025,OKLO,53.90,201.86
05/27/2025,SMR,35.52,199.60
05/27/2025,FNMA,10.55,182.15
05/27/2025,IONQ,48.04,172.55
05/27/2025,FMCC,7.61,137.72
05/27/2025,SBSW,6.07,131.07
05/27/2025,PGRE,6.11,124.17
05/27/2025,HSAI,21.26,123.79
05/27/2025,GOOS,12.51,120.79
05/27/2025,ETWO,3.20,106.84
06/02/2025,NVTS,5.54,328.07
06/02/2025,MTPLF,8.48,312.98
06/02/2025,QBTS,16.91,269.26
06/02/2025,OKLO,52.21,230.99
06/02/2025,SMR,32.35,220.77
06/02/2025,TMC,3.98,204.94
06/02/2025,FNMA,10.73,199.82
06/02/2025,PONY,17.22,174.23
06/02/2025,ELF,112.97,165.79
06/02/2025,FMCC,8.00,163.40
06/02/2025,IONQ,40.42,159.79
06/02/2025,SBSW,6.34,141.50
06/02/2025,GOOS,11.49,134.44
06/02/2025,APLD,10.22,134.21
06/02/2025,PGRE,6.08,133.42
06/02/2025,ETWO,3.21,132.42
06/02/2025,HSAI,18.82,103.13
06/02/2025,NVTS,5.54,328.07
06/02/2025,MTPLF,8.48,312.98
06/02/2025,QBTS,16.91,269.26
06/02/2025,OKLO,52.21,230.99
06/02/2025,SMR,32.35,220.77
06/02/2025,TMC,3.98,204.94
06/02/2025,FNMA,10.73,199.82
06/02/2025,PONY,17.22,174.23
06/02/2025,ELF,112.97,165.79
06/02/2025,FMCC,8.00,163.40
06/02/2025,IONQ,40.42,159.79
06/02/2025,SBSW,6.34,141.50
06/02/2025,GOOS,11.49,134.44
06/02/2025,APLD,10.22,134.21
06/02/2025,PGRE,6.08,133.42
06/02/2025,ETWO,3.21,132.42
06/02/2025,HSAI,18.82,103.13
06/04/2025,NVTS,5.52,327.61
06/04/2025,MTPLF,9.76,321.64
06/04/2025,QBTS,17.08,262.45
06/04/2025,OKLO,51.03,225.79
06/04/2025,SMR,32.76,217.65
06/04/2025,TMC,4.12,193.71
06/04/2025,FNMA,10.16,193.69
06/04/2025,ELF,114.27,174.63
06/04/2025,FMCC,7.75,161.09
06/04/2025,IONQ,40.42,152.60
06/04/2025,SBSW,6.18,140.11
06/04/2025,ETWO,3.22,134.44
06/04/2025,PGRE,6.16,133.41
06/04/2025,APLD,10.14,133.36
06/04/2025,GOOS,11.61,131.42
06/04/2025,CRDO,75.71,131.23
06/04/2025,BPMC,127.74,107.11
06/30/2025,VG,15.58,126.90
06/30/2025,BPMC,128.18,106.57
